day	hour	value
0	4	1.0
0	5	1.0
0	6	1.0
0	7	1.0
0	8	1.0
0	9	1.0
0	10	1.0
0	11	1.0
0	12	1.0
0	13	1.0
0	14	0.90000000000000002
0	15	0.69999999999999996
0	16	0.69999999999999996
0	17	0.80000000000000004
0	18	0.80000000000000004
0	19	0.80000000000000004
0	20	0.80000000000000004
0	21	0.80000000000000004
0	22	0.80000000000000004
0	23	0.80000000000000004
100	4	1.0
100	5	1.0
100	6	1.0
100	7	1.0
100	8	1.0
100	9	1.0
100	10	1.0
100	11	1.0
100	12	1.0
100	13	1.0
100	14	0.90000000000000002
100	15	0.69999999999999996
100	16	0.69999999999999996
100	17	0.80000000000000004
100	18	0.80000000000000004
100	19	0.80000000000000004
100	20	0.80000000000000004
100	21	0.80000000000000004
100	22	0.80000000000000004
100	23	0.80000000000000004
200	4	1.0
200	5	1.0
200	6	1.0
200	7	1.0
200	8	1.0
200	9	1.0
200	10	1.0
200	11	1.0
200	12	1.0
200	13	1.0
200	14	0.90000000000000002
200	15	0.69999999999999996
200	16	0.69999999999999996
200	17	0.80000000000000004
200	18	0.80000000000000004
200	19	0.80000000000000004
200	20	0.80000000000000004
200	21	0.80000000000000004
200	22	0.80000000000000004
200	23	0.80000000000000004
300	4	1.0
300	5	1.0
300	6	1.0
300	7	1.0
300	8	1.0
300	9	1.0
300	10	1.0
300	11	1.0
300	12	1.0
300	13	1.0
300	14	0.90000000000000002
300	15	0.69999999999999996
300	16	0.69999999999999996
300	17	0.80000000000000004
300	18	0.80000000000000004
300	19	0.80000000000000004
300	20	0.80000000000000004
300	21	0.80000000000000004
300	22	0.80000000000000004
300	23	0.80000000000000004
400	4	1.0
400	5	1.0
400	6	1.0
400	7	1.0
400	8	1.0
400	9	1.0
400	10	1.0
400	11	0.90000000000000002
400	12	1.0
400	13	1.0
400	14	0.90000000000000002
400	15	0.69999999999999996
400	16	0.69999999999999996
400	17	0.80000000000000004
400	18	0.80000000000000004
400	19	0.80000000000000004
400	20	0.80000000000000004
400	21	0.80000000000000004
400	22	0.80000000000000004
400	23	0.80000000000000004
500	4	1.0
500	5	1.0
500	6	1.0
500	7	1.0
500	8	1.0
500	9	1.0
500	10	0.84999999999999998
500	11	0.75
500	12	0.75
500	13	0.84999999999999998
500	14	0.59999999999999998
500	15	0.45000000000000001
500	16	0.40000000000000002
500	17	0.5
500	18	0.5
500	19	0.5
500	20	0.40000000000000002
500	21	0.40000000000000002
500	22	0.40000000000000002
500	23	0.40000000000000002
600	4	0.90000000000000002
600	5	0.90000000000000002
600	6	0.90000000000000002
600	7	0.90000000000000002
600	8	0.69999999999999996
600	9	0.5
600	10	0.69999999999999996
600	11	0.5
600	12	0.40000000000000002
600	13	0.40000000000000002
600	14	0.10000000000000001
600	15	0.10000000000000001
600	16	0.10000000000000001
600	17	0.10000000000000001
600	18	0.10000000000000001
600	19	0.10000000000000001
600	20	0.10000000000000001
600	21	0.10000000000000001
600	22	0.20000000000000001
600	23	0.20000000000000001
700	4	0.90000000000000002
700	5	0.90000000000000002
700	6	0.90000000000000002
700	7	0.90000000000000002
700	8	0.69999999999999996
700	9	0.5
700	10	0.59999999999999998
700	11	0.40000000000000002
700	12	0.29999999999999999
700	13	0.40000000000000002
700	14	0.10000000000000001
700	15	0.20000000000000001
700	16	0.20000000000000001
700	17	0.20000000000000001
700	18	0.20000000000000001
700	19	0.20000000000000001
700	20	0.20000000000000001
700	21	0.20000000000000001
700	22	0.20000000000000001
700	23	0.20000000000000001
800	4	1.0
800	5	1.0
800	6	1.0
800	7	0.90000000000000002
800	8	0.40000000000000002
800	9	0.10000000000000001
800	10	0.29999999999999999
800	11	0.29999999999999999
800	12	0.20000000000000001
800	13	0.20000000000000001
800	14	0.29999999999999999
800	15	0.29999999999999999
800	16	0.20000000000000001
800	17	0.10000000000000001
800	18	0.20000000000000001
800	19	0.29999999999999999
800	20	0.29999999999999999
800	21	0.29999999999999999
800	22	0.29999999999999999
800	23	0.29999999999999999
900	4	1.0
900	5	1.0
900	6	1.0
900	7	0.80000000000000004
900	8	0.29999999999999999
900	9	0.10000000000000001
900	10	0.29999999999999999
900	11	0.29999999999999999
900	12	0.20000000000000001
900	13	0.20000000000000001
900	14	0.20000000000000001
900	15	0.20000000000000001
900	16	0.20000000000000001
900	17	0.10000000000000001
900	18	0.10000000000000001
900	19	0.10000000000000001
900	20	0.10000000000000001
900	21	0.10000000000000001
900	22	0.10000000000000001
900	23	0.10000000000000001
